#{"t_start": 1704387636.6009672, "env_id": "None"}
r,l,t,dmg
115191.0,62,0.393408,115991
142129.0,61,0.447115,142829
146481.0,61,0.499236,147131
103754.0,66,0.555763,104654
114536.0,59,0.606308,115236
144848.0,62,0.659855,145648
123992.0,65,0.714399,124892
137078.0,68,0.772454,138128
114112.0,58,0.82149,114662
129611.0,59,0.873028,130261
129891.0,58,0.922575,130391
125162.0,53,0.968613,125462
137134.0,59,1.019157,137734
121405.0,63,1.072263,122305
134106.0,61,1.124854,134856
117051.0,62,1.17845,117801
131068.0,55,1.227047,131468
121980.0,65,1.283643,122880
109634.0,69,1.343758,110734
105533.0,63,1.399353,106383
122101.0,65,1.455468,123051
134683.0,54,1.503026,135033
132136.0,58,1.55458,132736
114914.0,55,1.602627,115314
118388.0,59,1.655203,118988
122564.0,61,1.707772,123314
116960.0,64,1.763322,117610
109935.0,60,1.814869,110585
128428.0,62,1.867428,129228
109512.0,65,1.922459,110362
106417.0,70,1.981514,107667
113538.0,61,2.034043,114138
115962.0,60,2.084587,116612
133602.0,58,4.090181,134202
112804.0,59,4.153271,113404
112715.0,69,4.222381,113915
100577.0,55,4.274973,101027
142986.0,68,4.334088,143986
121395.0,60,4.389681,122045
113413.0,68,4.449318,114363
120588.0,55,4.496394,121038
145310.0,59,4.547991,145960
117450.0,60,4.603082,118150
116663.0,60,4.659686,117313
132469.0,60,4.712281,133119
135521.0,60,4.764877,136271
127764.0,53,4.811952,128164
117223.0,61,4.864548,117873
121358.0,63,4.919625,122158
120223.0,63,4.975222,121023
131369.0,67,5.033335,132419
128517.0,71,5.094419,129767
118107.0,53,5.140472,118457
108134.0,61,5.19404,108834
123985.0,70,5.254121,125135
124223.0,65,5.310683,125223
124938.0,59,5.364234,125638
102820.0,56,5.413782,103170
147888.0,57,5.46233,148388
141822.0,51,5.50636,142072
108945.0,59,5.557464,109395
137713.0,54,5.603496,138113
127359.0,64,5.658043,128259
116890.0,65,5.714091,117840
124510.0,68,5.770635,125560
133301.0,71,5.830669,134551
112356.0,66,7.794006,113206
110229.0,52,7.844554,110529
115432.0,51,7.897592,115632
132171.0,56,7.951137,132571
107966.0,60,8.007688,108516
108759.0,62,8.061791,109459
122804.0,66,8.117848,123604
121791.0,55,8.164887,122191
136843.0,63,8.218432,137593
145407.0,56,8.266979,145857
116489.0,57,8.315012,116989
152554.0,61,8.374075,153304
126830.0,56,8.422623,127330
124355.0,62,8.47517,125155
138670.0,54,8.521893,139070
115561.0,61,8.573946,116261
149052.0,62,8.627494,149802
111145.0,58,8.677036,111695
130473.0,60,8.72962,131223
125970.0,60,8.782214,126670
133721.0,58,8.83281,134221
121928.0,62,8.886407,122778
126421.0,51,8.931485,126721
138786.0,56,8.980081,139236
122832.0,59,9.031677,123532
120918.0,68,9.091273,122068
131007.0,59,9.14287,131707
129097.0,59,9.194466,129697
127448.0,61,9.247061,128198
136891.0,51,9.291137,137091
127293.0,59,9.343734,127893
126214.0,51,9.390332,126514
128756.0,60,9.442928,129406
127667.0,49,9.486005,127767
133976.0,63,9.540606,134826
102509.0,61,11.518833,103159
142715.0,59,11.580866,143165
134532.0,59,11.641424,135182
121021.0,57,11.70446,121571
126113.0,66,11.763005,127113
109510.0,58,11.813555,110160
117338.0,59,11.864095,117988
126949.0,59,11.915621,127399
140976.0,57,11.964166,141576
117634.0,52,12.008201,117884
132653.0,53,12.05424,132953
104594.0,54,12.100767,104994
136954.0,73,12.162849,138354
110101.0,59,12.215417,110801
117696.0,55,12.262985,118146
147698.0,60,12.315552,148248
141652.0,58,12.368121,142152
114063.0,57,12.418193,114663
120215.0,66,12.47528,121265
112421.0,61,12.528846,113071
133772.0,53,12.574919,134072
125183.0,62,12.629494,125783
135336.0,54,12.676035,135736
128622.0,54,12.723088,129072
126812.0,57,12.772657,127362
124951.0,53,12.819712,125301
130659.0,60,12.873283,131359
140730.0,50,12.916848,140980
124901.0,56,12.96491,125451
101915.0,54,13.012477,102265
123638.0,59,13.063601,124288
135723.0,64,13.119177,136523
134491.0,55,13.167231,134991
113942.0,58,13.217799,114442
121096.0,59,13.270367,121696
127443.0,62,13.323935,128293
125147.0,58,15.416436,125697
135579.0,52,15.467976,135879
131986.0,54,15.518506,132336
137521.0,57,15.5746,137971
132572.0,66,15.632197,133522
115140.0,58,15.684247,115590
116910.0,50,15.727284,117060
123627.0,49,15.769321,123777
129482.0,56,15.817948,130032
110393.0,54,15.864401,110693
128758.0,55,15.913475,129208
126653.0,55,15.962073,127103
146203.0,60,16.01467,146903
124788.0,53,16.061745,125138
128648.0,56,16.11034,129148
131575.0,51,16.155417,131875
130856.0,57,16.204974,131356
115798.0,52,16.25057,116148
136464.0,64,16.306127,137314
126624.0,54,16.353722,127074
110158.0,60,16.407317,110808
128291.0,60,16.459913,128991
131181.0,56,16.509505,131631
123804.0,53,16.557104,124204
118912.0,49,16.601691,119012
109631.0,52,16.64678,109981
124228.0,53,16.693337,124628
130868.0,51,16.738413,131068
120918.0,52,16.783489,121168
122672.0,58,16.834082,123172
125748.0,55,16.882677,126248
121289.0,61,16.935234,122089
109088.0,56,16.98531,109388
113512.0,48,17.027868,113662
130278.0,55,17.075933,130778
122798.0,51,17.120021,123098
144663.0,57,17.170098,145163
